Year,Month,Year,Quarter,Month,Day,YYYYMM
2022,5,2022,Qtr 2,May,1,202205
2022,5,2022,Qtr 2,May,2,202205
2022,5,2022,Qtr 2,May,3,202205
2022,5,2022,Qtr 2,May,4,202205
2022,5,2022,Qtr 2,May,5,202205
2022,5,2022,Qtr 2,May,6,202205
2022,5,2022,Qtr 2,May,7,202205
2022,5,2022,Qtr 2,May,8,202205
2022,5,2022,Qtr 2,May,9,202205
2022,5,2022,Qtr 2,May,10,202205
2022,5,2022,Qtr 2,May,11,202205
2022,5,2022,Qtr 2,May,12,202205
2022,5,2022,Qtr 2,May,13,202205
2022,5,2022,Qtr 2,May,14,202205
2022,5,2022,Qtr 2,May,15,202205
2022,5,2022,Qtr 2,May,16,202205
2022,5,2022,Qtr 2,May,17,202205
2022,5,2022,Qtr 2,May,18,202205
2022,5,2022,Qtr 2,May,19,202205
2022,5,2022,Qtr 2,May,20,202205
2022,5,2022,Qtr 2,May,21,202205
2022,5,2022,Qtr 2,May,22,202205
2022,5,2022,Qtr 2,May,23,202205
2022,5,2022,Qtr 2,May,24,202205
2022,5,2022,Qtr 2,May,25,202205
2022,5,2022,Qtr 2,May,26,202205
2022,5,2022,Qtr 2,May,27,202205
2022,5,2022,Qtr 2,May,28,202205
2022,5,2022,Qtr 2,May,29,202205
2022,5,2022,Qtr 2,May,30,202205
2022,5,2022,Qtr 2,May,31,202205
2022,6,2022,Qtr 2,June,1,202206
2022,6,2022,Qtr 2,June,2,202206
2022,6,2022,Qtr 2,June,3,202206
2022,6,2022,Qtr 2,June,4,202206
2022,6,2022,Qtr 2,June,5,202206
2022,6,2022,Qtr 2,June,6,202206
2022,6,2022,Qtr 2,June,7,202206
2022,6,2022,Qtr 2,June,8,202206
2022,6,2022,Qtr 2,June,9,202206
2022,6,2022,Qtr 2,June,10,202206
2022,6,2022,Qtr 2,June,11,202206
2022,6,2022,Qtr 2,June,12,202206
2022,6,2022,Qtr 2,June,13,202206
2022,6,2022,Qtr 2,June,14,202206
2022,6,2022,Qtr 2,June,15,202206
2022,6,2022,Qtr 2,June,16,202206
2022,6,2022,Qtr 2,June,17,202206
2022,6,2022,Qtr 2,June,18,202206
2022,6,2022,Qtr 2,June,19,202206
2022,6,2022,Qtr 2,June,20,202206
2022,6,2022,Qtr 2,June,21,202206
2022,6,2022,Qtr 2,June,22,202206
2022,6,2022,Qtr 2,June,23,202206
2022,6,2022,Qtr 2,June,24,202206
2022,6,2022,Qtr 2,June,25,202206
2022,6,2022,Qtr 2,June,26,202206
2022,6,2022,Qtr 2,June,27,202206
2022,6,2022,Qtr 2,June,28,202206
2022,6,2022,Qtr 2,June,29,202206
2022,6,2022,Qtr 2,June,30,202206
2022,7,2022,Qtr 3,July,1,202207
2022,7,2022,Qtr 3,July,2,202207
2022,7,2022,Qtr 3,July,3,202207
2022,7,2022,Qtr 3,July,4,202207
2022,7,2022,Qtr 3,July,5,202207
2022,7,2022,Qtr 3,July,6,202207
2022,7,2022,Qtr 3,July,7,202207
2022,7,2022,Qtr 3,July,8,202207
2022,7,2022,Qtr 3,July,9,202207
2022,7,2022,Qtr 3,July,10,202207
2022,7,2022,Qtr 3,July,11,202207
2022,7,2022,Qtr 3,July,12,202207
2022,7,2022,Qtr 3,July,13,202207
2022,7,2022,Qtr 3,July,14,202207
2022,7,2022,Qtr 3,July,15,202207
2022,7,2022,Qtr 3,July,16,202207
2022,7,2022,Qtr 3,July,17,202207
2022,7,2022,Qtr 3,July,18,202207
2022,7,2022,Qtr 3,July,19,202207
2022,7,2022,Qtr 3,July,20,202207
2022,7,2022,Qtr 3,July,21,202207
2022,7,2022,Qtr 3,July,22,202207
2022,7,2022,Qtr 3,July,23,202207
2022,7,2022,Qtr 3,July,24,202207
2022,7,2022,Qtr 3,July,25,202207
2022,7,2022,Qtr 3,July,26,202207
2022,7,2022,Qtr 3,July,27,202207
2022,7,2022,Qtr 3,July,28,202207
2022,7,2022,Qtr 3,July,29,202207
2022,7,2022,Qtr 3,July,30,202207
2022,7,2022,Qtr 3,July,31,202207
2022,8,2022,Qtr 3,August,1,202208
2022,8,2022,Qtr 3,August,2,202208
2022,8,2022,Qtr 3,August,3,202208
2022,8,2022,Qtr 3,August,4,202208
2022,8,2022,Qtr 3,August,5,202208
